     dbus-daemon-924   [006] d.h. 13308.888228: memguard_process_overflow: perf_event_count(cinfo->event)=5565159
       JS Helper-1349  [007] d.h. 13311.166701: memguard_process_overflow: perf_event_count(cinfo->event)=14350426
     InputThread-1947  [006] d.h. 13317.600298: memguard_process_overflow: perf_event_count(cinfo->event)=5569238
           <...>-2430  [007] d.h. 13318.096335: memguard_process_overflow: perf_event_count(cinfo->event)=14374655
           <...>-2430  [007] d.h. 13318.096555: memguard_process_overflow: perf_event_count(cinfo->event)=14378783
           <...>-2430  [007] d.h. 13318.098041: memguard_process_overflow: perf_event_count(cinfo->event)=14382925
           <...>-2430  [007] d.h. 13318.098583: memguard_process_overflow: perf_event_count(cinfo->event)=14387053
           <...>-2430  [007] d.h. 13318.099690: memguard_process_overflow: perf_event_count(cinfo->event)=14391185
           <...>-2430  [007] d.h. 13318.100577: memguard_process_overflow: perf_event_count(cinfo->event)=14395324
           <...>-2430  [007] d.h. 13318.101595: memguard_process_overflow: perf_event_count(cinfo->event)=14399452
           <...>-2430  [007] d.h. 13318.102610: memguard_process_overflow: perf_event_count(cinfo->event)=14403598
           <...>-2430  [007] d.h. 13318.103574: memguard_process_overflow: perf_event_count(cinfo->event)=14407730
           <...>-2430  [007] d.h. 13318.104574: memguard_process_overflow: perf_event_count(cinfo->event)=14411875
           <...>-2430  [007] d.h. 13318.105588: memguard_process_overflow: perf_event_count(cinfo->event)=14416018
           <...>-2430  [007] d.h. 13318.106715: memguard_process_overflow: perf_event_count(cinfo->event)=14420150
           <...>-2430  [007] d.h. 13318.107652: memguard_process_overflow: perf_event_count(cinfo->event)=14424286
           <...>-2430  [007] d.h. 13318.108639: memguard_process_overflow: perf_event_count(cinfo->event)=14428416
           <...>-2430  [007] d.h. 13318.109576: memguard_process_overflow: perf_event_count(cinfo->event)=14432546
           <...>-2430  [007] d.h. 13318.110632: memguard_process_overflow: perf_event_count(cinfo->event)=14436681
           <...>-2430  [007] d.h. 13318.111614: memguard_process_overflow: perf_event_count(cinfo->event)=14440811
           <...>-2430  [007] d.h. 13318.112646: memguard_process_overflow: perf_event_count(cinfo->event)=14444952
           <...>-2430  [007] d.h. 13318.113561: memguard_process_overflow: perf_event_count(cinfo->event)=14449094
           <...>-2430  [007] d.h. 13318.114564: memguard_process_overflow: perf_event_count(cinfo->event)=14453233
           <...>-2430  [007] d.h. 13318.115610: memguard_process_overflow: perf_event_count(cinfo->event)=14457366
           <...>-2430  [007] d.h. 13318.118028: memguard_process_overflow: perf_event_count(cinfo->event)=14465006
           <...>-2430  [007] d.h. 13318.118624: memguard_process_overflow: perf_event_count(cinfo->event)=14469137
           <...>-2430  [007] d.h. 13318.119652: memguard_process_overflow: perf_event_count(cinfo->event)=14473298
           <...>-2430  [007] d.h. 13318.120573: memguard_process_overflow: perf_event_count(cinfo->event)=14477428
           <...>-2430  [007] d.h. 13318.121634: memguard_process_overflow: perf_event_count(cinfo->event)=14481557
           <...>-2430  [007] d.h. 13318.122587: memguard_process_overflow: perf_event_count(cinfo->event)=14485687
           <...>-2430  [007] d.h. 13318.123570: memguard_process_overflow: perf_event_count(cinfo->event)=14489819
           <...>-2430  [007] d.h. 13318.124751: memguard_process_overflow: perf_event_count(cinfo->event)=14493949
           <...>-2430  [007] d.h. 13318.125606: memguard_process_overflow: perf_event_count(cinfo->event)=14498081
           <...>-2430  [007] d.h. 13318.126590: memguard_process_overflow: perf_event_count(cinfo->event)=14502212
           <...>-2430  [007] d.h. 13318.127577: memguard_process_overflow: perf_event_count(cinfo->event)=14506348
           <...>-2430  [007] d.h. 13318.128704: memguard_process_overflow: perf_event_count(cinfo->event)=14510477
           <...>-2430  [007] d.h. 13318.368301: memguard_process_overflow: perf_event_count(cinfo->event)=14518813
           <...>-2430  [007] d.h. 13318.368542: memguard_process_overflow: perf_event_count(cinfo->event)=14522947
           <...>-2430  [007] d.h. 13318.369621: memguard_process_overflow: perf_event_count(cinfo->event)=14527078
           <...>-2430  [007] d.h. 13318.370617: memguard_process_overflow: perf_event_count(cinfo->event)=14531208
           <...>-2430  [007] d.h. 13318.371628: memguard_process_overflow: perf_event_count(cinfo->event)=14535353
           <...>-2430  [007] d.h. 13318.372562: memguard_process_overflow: perf_event_count(cinfo->event)=14539494
           <...>-2430  [007] d.h. 13318.373669: memguard_process_overflow: perf_event_count(cinfo->event)=14543631
           <...>-2430  [007] d.h. 13318.374680: memguard_process_overflow: perf_event_count(cinfo->event)=14547766
           <...>-2430  [007] d.h. 13318.375595: memguard_process_overflow: perf_event_count(cinfo->event)=14551909
           <...>-2430  [007] d.h. 13318.376594: memguard_process_overflow: perf_event_count(cinfo->event)=14556040
           <...>-2430  [007] d.h. 13318.377590: memguard_process_overflow: perf_event_count(cinfo->event)=14560176
           <...>-2430  [007] d.h. 13318.378539: memguard_process_overflow: perf_event_count(cinfo->event)=14564304
